SchoolID,SchoolName,FullName,CPS Unit,Latitude,Longitude
400159,Christopher House Chtr School,Christopher Charter House ES,9616,41.9222086,-87.75752205
400023,Cics - Avalon /so Shore,Chicago Intl Charter - Avalon / South Shore,6580,41.74320686,-87.58792816
400024,Cics - Basil,Chicago Intl Charter - Basil,7130,41.79401542,-87.67024224
400025,Cics - Bucktown,Chicago Intl Charter - Bucktown,4910,41.92241391,-87.6813947
400032,Cics - Ellison,Chicago Intl Charter - Ralph Ellison,4911,41.74840985,-87.66898023
400108,Cics - Hawkins,Chicago Intl Charter - Larry Hawkins,8110,41.6531669,-87.6018856
400027,Cics - Irving Park,Chicago Intl Charter - Irving Park,4913,41.95089186,-87.71045568
400092,Cics - Lloyd Bond,Chicago Intl Charter - Lloyd Bond,8049,41.65366757,-87.60500293
400033,Cics - Longwood,Chicago Intl Charter - Longwood,2420,41.72124887,-87.65576875
400026,Cics - Loomis,Chicago Intl Charter - Loomis Primary,4914,41.72024585,-87.65759768
400034,Cics - Northtown,Chicago Intl Charter - Northtown,7740,41.99021757,-87.72650366
